  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, bucket_cmp, bucket_swaps, bucket_time, radix_cmp, radix_swaps, radix_time
37,776,353,12,686,0,12,666,353,17,702,31,14,727,77,17,793,157,4,0,0,12,36,0,8
38,834,381,14,707,0,14,703,381,19,740,33,15,692,72,3,809,159,5,0,0,13,37,0,8
39,842,384,13,740,0,4,741,384,20,779,34,15,792,75,3,849,168,5,0,0,13,38,0,8
40,921,423,14,766,0,3,780,423,20,819,37,16,834,82,3,880,173,5,0,0,13,39,0,8
41,977,450,16,785,0,4,820,450,21,860,40,16,781,80,3,904,178,5,0,0,14,40,0,8
42,1021,471,16,801,0,3,861,471,23,902,37,18,783,85,3,932,183,5,0,0,13,41,0,8
43,1081,500,17,837,0,4,903,500,24,945,36,18,846,89,3,980,194,5,0,0,14,42,0,9
44,1093,505,18,857,0,4,946,505,25,989,39,19,867,93,4,1022,203,6,0,0,15,43,0,9
45,1121,518,18,889,0,4,990,518,26,1034,42,20,849,94,4,1059,212,5,0,0,12,44,0,9
46,1165,539,19,923,0,4,1035,539,27,1080,43,21,881,97,3,1073,213,6,0,0,12,45,0,9
47,1225,568,19,937,0,4,1081,568,28,1127,44,22,924,99,3,1098,218,6,0,0,13,46,0,2
48,1275,592,20,962,0,4,1128,592,30,1175,40,22,877,102,4,1145,228,6,0,0,13,47,0,3
49,1359,633,23,959,0,8,1176,633,34,1224,41,50,921,105,9,1171,233,13,0,0,67,48,0,5
50,1437,671,59,995,0,10,1225,671,69,1274,47,50,944,106,6,1207,241,8,0,0,85,49,0,3
51,1457,680,64,1020,0,15,1275,680,92,1325,48,27,987,108,5,1224,244,8,0,0,18,50,0,3
